,word,lemma,onset,offset,section,sentence_index
0,当,当,0.0,0.14,1,0
1,我,我,0.14,0.25,1,0
2,还,还,0.25,0.43,1,0
3,只有,只有,0.43,0.67,1,0
4,六,六,0.67,0.89,1,0
5,岁,岁,0.89,1.06,1,0
6,的,的,1.06,1.14,1,0
7,时候,时候,1.14,1.58,1,0
8,在,在,2.16,2.34,1,0
9,一,一,2.34,2.44,1,0
10,本,本,2.44,2.53,1,0
11,描写,描写,2.53,2.93,1,0
12,原始,原始,2.93,3.25,1,0
13,森林,森林,3.25,3.69,1,0
14,的,的,3.69,3.79,1,0
15,名,名,4.16,4.3,1,0
16,叫,叫,4.3,4.46,1,0
17,真实,真实,4.46,4.84,1,0
18,的,的,4.84,4.9,1,0
19,故事,故事,4.9,5.22,1,0
20,的,的,5.22,5.31,1,0
21,书,书,5.31,5.51,1,0
22,中,中,5.51,5.71,1,0
23,看到,看到,6.05,6.32,1,0
24,了,了,6.32,6.4,1,0
25,一,一,6.4,6.48,1,0
26,幅,幅,6.48,6.64,1,0
27,精彩,精彩,6.64,6.97,1,0
28,的,的,6.97,7.06,1,0
29,插画,插画,7.06,7.47,1,0
30,画,画,8.02,8.24,1,1
31,的,的,8.24,8.44,1,1
32,是,是,8.76,8.94,1,1
33,一,一,8.94,9.02,1,1
34,条,条,9.02,9.2,1,1
35,蟒蛇,蟒蛇,9.2,9.73,1,1
36,正在,正在,9.87,10.11,1,1
37,吞食,吞食,10.11,10.53,1,1
38,一,一,10.53,10.66,1,1
39,只,只,10.66,10.78,1,1
40,大,大,10.78,10.94,1,1
41,野兽,野兽,10.94,11.3,1,1
42,页头,页头,12.11,12.46,1,2
43,上,上,12.46,12.69,1,2
44,就,就,12.92,13.06,1,2
45,是,是,13.06,13.16,1,2
46,那,那,13.16,13.29,1,2
47,幅,幅,13.29,13.43,1,2
48,画,画,13.43,13.58,1,2
49,的,的,13.58,13.7,1,2
50,摹本,摹本,13.7,14.07,1,2
51,这,这,14.98,15.11,1,3
52,本,本,15.11,15.23,1,3
