,word,lemma,onset,offset,section,sentence_index
0,lorsque,lorsque,3.05,3.42,1,0
1,j',j',3.42,3.44,1,0
2,avais,avais,3.53,3.76,1,0
3,six,six,3.93,4.18,1,0
4,ans,ans,4.18,4.36,1,0
5,j',j',4.4,4.54,1,0
6,ai,ai,4.54,4.774013,1,0
7,vu,vu,4.859433,5.1498620000000015,1,0
8,une,une,5.1498620000000015,5.5,1,0
9,fois,fois,5.5,5.83,1,0
10,une,une,6.14,6.6,1,0
11,magnifique,magnifique,6.6,7.21,1,0
12,image,image,7.21,7.71,1,0
13,dans,dans,7.86,8.18,1,0
14,un,un,8.18,8.38,1,0
15,livre,livre,8.38,8.65,1,0
16,sur,sur,8.65,8.85,1,0
17,la,la,8.85,8.95,1,0
18,forêt,forêt,8.95,9.33,1,0
19,vierge,vierge,9.33,9.81,1,0
20,qui,qui,9.81,9.99,1,0
21,s',s',9.99,10.12,1,0
22,appelait,appelait,10.12,10.56,1,0
23,histoires,histoires,10.81,11.35,1,0
24,vécues,vécues,11.35,11.79,1,0
25,ça,ça,12.64,12.95,1,1
26,représentait,représentait,12.95,13.54,1,1
27,un,un,13.54,13.67,1,1
28,serpent,serpent,13.67,14.16,1,1
29,boa,boa,14.16,14.54,1,1
30,qui,qui,14.77,14.95,1,1
31,avalait,avalait,14.95,15.41,1,1
32,un,un,15.41,15.55,1,1
33,fauve,fauve,15.55,16.13,1,1
34,voilà,voilà,16.72,17.13,1,2
35,la,la,17.13,17.26,1,2
36,copie,copie,17.26,17.65,1,2
37,du,de,17.65,17.725,1,2
38,dessin,dessin,17.8,18.2,1,2
39,on,on,19.47,19.53,1,3
40,disait,disait,19.53,19.94,1,3
41,dans,dans,19.94,20.11,1,3
42,le,le,20.11,20.26,1,3
43,livre,livre,20.26,20.77,1,3
44,les,les,20.98,21.17,1,3
45,serpents,serpents,21.17,21.65,1,3
46,boas,boas,21.65,22.08,1,3
47,avalent,avalent,22.14,22.69,1,3
48,leur,leur,22.69,22.88,1,3
49,proie,proie,22.88,23.24,1,3
50,tout,tout,23.4,23.65,1,3
51,entière,entière,23.65,24.31,1,3
52,sans,sans,24.31,24.66,1,3
53,la,la,24.66,24.79,1,3
54,mâcher,mâcher,24.79,25.28,1,3
55,ensuite,ensuite,25.81,26.33,1,3
56,ils,ils,26.33,26.43,1,3
57,ne,ne,26.43,26.57,1,3
58,peuvent,peuvent,26.57,26.8,1,3
59,plus,plus,26.8,27.06,1,3
60,bouger,bouger,27.06,27.52424,1,3
61,et,et,27.704903,27.876058,1,4
62,ils,ils,27.876058,28.02,1,4
63,dorment,dorment,28.02,28.44,1,4
64,pendant,pendant,28.44,28.77,1,4
65,les,les,28.77,28.91,1,4
66,six,six,28.91,29.23,1,4
67,mois,mois,29.23,29.51,1,4
68,de,de,29.51,29.61,1,4
69,leur,leur,29.61,29.78,1,4
70,digestion,digestion,29.78,30.38,1,4
71,j',j',32.195161,32.340959999999995,1,5
72,ai,ai,32.340959999999995,32.442384999999994,1,5
73,alors,alors,32.442384999999994,32.8,1,5
74,beaucoup,beaucoup,32.8,33.41,1,5
75,réfléchi,réfléchi,33.41,34.08,1,5
